,Original,Normalized,TNormalized
$NMAE^*$ (A),0.808,0.659,0.397
$NMAE^*$ std (A),0.52,0.625,0.385
$NRMSE^*$ (A),1.035,0.66,0.398
$NRMSE^*$ std(A) ,0.605,0.657,0.396
$AD_{KS}$ (B),0.341,0.341,0.341
$ND_E$ (C),8.073,0.379,0.379
$LN_f$ (D),0.75,0.75,0.75
$T_{o}$ (B),0.451,0.451,0.451
$LN_f$ (D),0.75,0.75,0.75
$T_{o}$ (B),0.451,0.451,0.451
